date,monthly_rainfall_mm,year,month,month_of_year,season
2004-11-01,0.2368073668500347,2004,11,11,autumn
2004-12-01,1.4605887043544696,2004,12,12,winter
2005-01-01,16.02276319094579,2005,1,1,winter
2005-02-01,55.32519806974025,2005,2,2,winter
2005-03-01,43.90620238922094,2005,3,3,spring
2005-04-01,8.544479320633332,2005,4,4,spring
2005-05-01,8.084009529322664,2005,5,5,spring
2005-06-01,51.52664196342862,2005,6,6,monsoon
2005-07-01,239.6436107814264,2005,7,7,monsoon
2005-08-01,74.83989493236737,2005,8,8,monsoon
2005-09-01,222.14315146509514,2005,9,9,monsoon
2005-10-01,1.5167213364559806,2005,10,10,autumn
2005-11-01,5.139242152305797,2005,11,11,autumn
2005-12-01,0.4005332992908123,2005,12,12,winter
2006-01-01,4.076566114069066,2006,1,1,winter
2006-02-01,2.8588676279138423,2006,2,2,winter
2006-03-01,42.29768951143554,2006,3,3,spring
2006-04-01,3.336360494411659,2006,4,4,spring
2006-05-01,49.411652158784555,2006,5,5,spring
2006-06-01,74.80575117096141,2006,6,6,monsoon
2006-07-01,253.57459625699562,2006,7,7,monsoon
2006-08-01,58.11405492964924,2006,8,8,monsoon
2006-09-01,78.90817015520685,2006,9,9,monsoon
2006-10-01,12.802365355190704,2006,10,10,autumn
2006-11-01,0.2737457919919593,2006,11,11,autumn
2006-12-01,5.345311734109266,2006,12,12,winter
2007-01-01,9.275130068564373,2007,1,1,winter
2007-02-01,97.04156577403478,2007,2,2,winter
2007-03-01,60.69177768156192,2007,3,3,spring
2007-04-01,3.5157589282545874,2007,4,4,spring
2007-05-01,54.52920708635992,2007,5,5,spring
2007-06-01,92.65905439914886,2007,6,6,monsoon
2007-07-01,191.4233573146943,2007,7,7,monsoon
2007-08-01,196.42698604997491,2007,8,8,monsoon
2007-09-01,84.76181317773222,2007,9,9,monsoon
2007-10-01,1.6390900003676934,2007,10,10,autumn
2007-11-01,0.7961657278391129,2007,11,11,autumn
2007-12-01,2.319801330489612,2007,12,12,winter
