Month,LSTM_Forecast (mm),XGBoost_Forecast (mm),RF_Forecast (mm),Ensemble_Forecast (mm),Forecast_Category
2024-01,-0.27,143.99,197.69,113.8,High Rainfall
2024-02,32.68,197.14,192.52,140.78,High Rainfall
2024-03,122.86,153.99,209.65,162.17,High Rainfall
2024-04,134.24,146.67,201.96,160.96,High Rainfall
2024-05,163.87,146.67,201.96,170.83,High Rainfall
2024-06,171.57,146.67,201.96,173.4,High Rainfall
2024-07,166.66,146.67,201.96,171.77,High Rainfall
2024-08,112.71,146.67,201.96,153.78,High Rainfall
2024-09,82.39,146.67,201.96,143.68,High Rainfall
2024-10,29.94,146.67,201.96,126.19,High Rainfall
2024-11,18.63,146.67,201.96,122.42,High Rainfall
2024-12,12.49,86.16,143.52,80.72,Moderate Rainfall
