Month,Slope (mm/year),Z-statistic,P-value,Significant (α=0.05),Significant (Bonferroni α=0.0042),CV (%),Mean (mm),Std Dev
January,1.6881017888610597,2.433321316961438,0.01496101767517577,Yes,No,82.52999431189477,27.78788596994665,22.933340710392777
February,-0.050487784396466354,-0.22710998958306755,0.8203382164336168,No,No,120.67062699082973,28.71942293885872,34.655907728468996
March,0.2208074847176904,0.09733285267845752,0.9224620671867603,No,No,111.5854572879717,30.828739978818042,34.40039048148387
April,0.09310512195622196,0.03244428422615251,0.9741177473553713,No,No,94.7360380533707,16.242672157528755,15.387664076040691
May,0.8472340917209451,0.6813299687492026,0.49566272449002957,No,No,85.00606346416046,38.08119896667121,32.371328161521745
June,-1.3132952651351149,-0.5515528318445926,0.5812547604118179,No,No,71.85388404042335,68.88428937577402,49.49603741013833
July,2.161146860782619,0.7462185372015077,0.4555354119407533,No,No,31.12842697140245,227.81181034157916,70.91423301440832
August,-5.098319702074223,-1.3951042217245577,0.1629844132966407,No,No,43.4101166337763,178.78264571369428,77.60975502526574
September,0.11227959735987547,0.03244428422615251,0.9741177473553713,No,No,62.530472192530915,134.52989177605954,84.12217656767085
October,0.6072137212461188,1.7195470639860828,0.08551480563051506,No,No,117.3852069289267,27.989189141551712,32.855167591539164
November,0.013160226908730265,0.09733285267845752,0.9224620671867603,No,No,165.53740261507403,4.414353045291931,7.307405373435686
December,-0.04162819180327296,-0.48666426339228763,0.6264962743469109,No,No,143.56784094591904,4.740758553682867,6.80620469998147
