Month,CV (%),Variability,Mean (mm),Std Dev
January,82.52999431189477,High,27.78788596994665,22.933340710392777
February,120.67062699082973,High,28.71942293885872,34.655907728468996
March,111.5854572879717,High,30.828739978818042,34.40039048148387
April,94.7360380533707,High,16.242672157528755,15.387664076040691
May,85.00606346416046,High,38.08119896667121,32.371328161521745
June,71.85388404042335,High,68.88428937577402,49.49603741013833
July,31.12842697140245,High,227.81181034157916,70.91423301440832
August,43.4101166337763,High,178.78264571369428,77.60975502526574
September,62.530472192530915,High,134.52989177605954,84.12217656767085
October,117.3852069289267,High,27.989189141551712,32.855167591539164
November,165.53740261507403,High,4.414353045291931,7.307405373435686
December,143.56784094591904,High,4.740758553682867,6.80620469998147
